Marca temporal,foto,nombre,posicion en el ranking,descripcion
17/05/2017 11:50:14,http://st-listas.20minutos.es/images/2014-12/391260/4605506_249px.jpg?1419702649,Venus,1,"Esta singular gatita, conmovió las redes sociales en Europa, pues tiene la carita de dos colores casi perfectamente divididos de forma vertical, además de tener un ojo verde y el otro azul."
17/05/2017 11:50:56,http://st-listas.20minutos.es/images/2014-12/391260/4605507_640px.jpg?1419702649,Grumpy cat,2,"Tardar Sauce (Estados Unidos; 4 de abril de 2012), más conocida como Grumpy Cat, es una gata y una celebridad de internet conocida por su expresión facial de mal humor. Gumpy Cat en español significa Gato Gruñón, y Tardar Sauce significa Salsa Tártara."
17/05/2017 11:52:59,http://st-listas.20minutos.es/images/2014-12/391260/4605508_249px.jpg?1419702649,Snoopy,3,"Esas simpáticas formas naturales que posee lo hicieron viral por los medios y las redes sociales, siendo catalogado por muchos como el ""Gatito más tierno del mundo""."
17/05/2017 11:54:02,http://st-listas.20minutos.es/images/2014-12/391260/4605519_640px.jpg?1419702649,Nala,4,"Esta gatita fue abandonada en un refugio de animales por los dueños de su madre cuando tenía apenas cuatro meses y fue rescatada por uns joven en Los Angeles, California. La hermosa gata parece demasiado linda para ser real.Tiene muchísimos seguidores en Instagram."
17/05/2017 11:55:35,http://st-listas.20minutos.es/images/2014-12/391260/4605505_640px.jpg?1419702649,Lil Bub,5,"Esta gatita padece una enfermedad ósea la cual la hace distinta a los de su especie. Entre sus rasgos predominan sus puños siempre cerrados y su lengua fuera de su boca, estos rasgos la han convertido en una de las más tiernas felinas de la web."
17/05/2017 11:56:20,http://st-listas.20minutos.es/images/2014-12/391260/4605514_249px.jpg?1419702649,Hamilton,6,"El gato hipster con bigote.Este gato también tuvo la suerte de ser encontrado a tiempo, tras ser abandonado en las frías calles de San Francisco, Estados Unidos."
17/05/2017 11:57:15,http://st-listas.20minutos.es/images/2014-12/391260/4605504_640px.jpg?1419702649,Honey Bee,7,"Honey Bee, Miel de abeja en español, es una gatita ciega que ama ir de excursiones."
17/05/2017 11:57:48,http://st-listas.20minutos.es/images/2014-12/391260/4605509_640px.jpg?1419702649,Shironeko,8,"El gato más dormilón y feliz del mundo. Shironeko, cuyo nombre traducido del japonés significa gato blanco, es conocido como el gato maestro zen por su habilidad para estar absolutamente feliz y contento y muy probablemente un poco dormido 24 horas al día. Está tan en paz con el mundo y le... Ver mas"
17/05/2017 11:58:41,http://st-listas.20minutos.es/images/2014-12/391260/4605518_640px.jpg?1419702649,Kitler,9,El gato que se parece a Hitle
17/05/2017 11:59:23,http://st-listas.20minutos.es/images/2014-12/391260/4605511_640px.jpg?1419702649,Sam,10,"Este hermoso gato tiene unas cejas muy marcadas, lo cual no sería nada extraño sino se tratara de un gato. Se hizo famoso en Instagram por sus aventuras diarias."
17/05/2017 11:53:23,http://st-listas.20minutos.es/images/2014-12/391260/4605503_249px.jpg?1419702649,Monty,11,"El gato que nació sin puente nasal. Monty, se vió afectado por un problema cromosómico, naciendo sin el hueso del puente nasal, lo cual lo hace estornudar constantemente. Fue adoptado por una pareja joven y hoy es famoso en la web por su ternura."
17/05/2017 11:53:54,http://st-listas.20minutos.es/images/2014-12/391260/4605515_249px.jpg?1419702649,Banye,12,"Gato OMGSe hizo famoso al ser publicado en una red social China llamada Duitang, no es su boca lo que aparentemente hace el gesto más increíble, sinó el color natural de partes de su pelaje en su carita de tal forma que pareciera que siempre esta asombrado."
17/05/2017 11:54:45,http://st-listas.20minutos.es/images/2014-12/391260/4605513_249px.jpg?1419702649,Maru,13,"Peculiar gatita que adora las cajas, por tal motivo su dueño la consiente con distintos tipos de cajas en los que ella se encuentra muy bien jugando y haciendo cosas extraordinarias."
17/05/2017 11:55:15,http://st-listas.20minutos.es/images/2014-12/391260/4605517_249px.jpg?1419702649,Colonel Meow,14,Gato más peludo del mundo.
17/05/2017 11:55:54,http://st-listas.20minutos.es/images/2014-12/391260/4605512_249px.jpg?1419702649,Garfi,15,"Garfi, es un gato de raza Persa y vive en Turquía con una familia numerable, aunque puede parecer muy enojado, es un gato amoroso y siempre esta dispuesto para una fotografía."
17/05/2017 11:56:27,http://st-listas.20minutos.es/images/2014-12/391260/4605516_249px.jpg?1419702649,Fukumaru,16,Gato con heterocromía y muy amistoso. La Heterocromía es catalogada una enfermedad que se caracteriza por presentar un color distinto en cada iris del ojo de un animal.
17/05/2017 11:57:11,http://st-listas.20minutos.es/images/2014-12/391260/4605522_249px.jpg?1419702649,City,17,Un gato muy largo.
17/05/2017 11:57:41,http://st-listas.20minutos.es/images/2014-12/391260/4605521_249px.jpg?1419702649,Lilu,18,
17/05/2017 11:58:19,http://st-listas.20minutos.es/images/2014-12/391260/4605510_249px.jpg?1419702649,Lázaro,19,El gato vampiro.Se encontró a Lázaro abandonado cuando tenía 2 meses de nacido y fue rescatado por un joven estudiante quien lo llevó con unos cuidadores.
17/05/2017 11:59:10,http://akns-images.eonline.com/eol_images/Entire_Site/2014421/rs_560x315-140521120013-1024.tara-hero-cat-wallpaper.jl.052114.jpg,Tara,20,La gata que salvó a un niño de un ataque de un perro.
17/05/2017 11:54:56,http://st-listas.20minutos.es/images/2014-12/391260/4605520_249px.jpg?1419702649,Zarathustra,21,El gato que es incorporado por su dueño en pinturas famosas.
17/05/2017 11:55:27,http://st-listas.20minutos.es/images/2014-12/391260/4607270_249px.jpg?1419702649,Bear,22,"Abandonado y maltratado hasta que su dueño, Tom Cox, un periodista que adopta gatos y escribe libros de éxito sobre ellos, lo recogió hecho polvo de la calle."
17/05/2017 11:56:31,http://st-listas.20minutos.es/images/2014-12/391260/4606918_249px.jpg?1419702649,Serious Cat,23,El gato más famoso de Internet
17/05/2017 11:58:20,http://st-listas.20minutos.es/images/2014-12/391260/5146116_249px.jpg?1419702649,Stewie,24,Stewie fue el gato más grande del mundo. Ganó el record al gato más largo en 2012. Medía 120 cm de largo y esta cifra no se ha superado. El gato más grande hoy en día mide 118 cm. Lamentablemente Stetwie murió de cáncer poco después del merecido premio.
